Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
New England Patriots,NE,DST,16.86,46.33,2.74,20.12,1.19,9.33,0.55,12.99,0.77,0.04,0.0,5.44,0.32,0.89,0.05,173.23,10.26,9.73,7.47,9.65,0.69,6.02,1.95,3.63,4.58,1.6,7.07,11.29,173.23,10.26,9.73,7.47,9.65,0.69,6.02,1.95,3.63,4.58,1.6,7.07,11.29,173.23,10.26,9.73,7.47,9.65,0.69,6.02,1.95,3.63,4.58,1.6,7.07,11.29,4
Philadelphia Eagles,PHI,DST,16.86,56.77,3.37,14.65,0.87,8.58,0.51,13.72,0.81,0.1,0.01,2.88,0.17,0.1,0.01,134.92,7.99,7.63,4.8,8.6,1.93,3.14,5.69,3.28,2.82,3.26,4.65,10.1,134.92,7.99,7.63,4.8,8.6,1.93,3.14,5.69,3.28,2.82,3.26,4.65,10.1,134.92,7.99,7.63,4.8,8.6,1.93,3.14,5.69,3.28,2.82,3.26,4.65,10.1,4
Dallas Cowboys,DAL,DST,16.86,47.94,2.84,17.52,1.03,14.01,0.83,17.93,1.06,0.0,0.0,3.56,0.21,0.84,0.05,161.83,9.56,6.75,6.61,9.26,0.96,4.69,3.76,3.48,3.97,2.16,7.01,10.04,161.83,9.56,6.75,6.61,9.26,0.96,4.69,3.76,3.48,3.97,2.16,7.01,10.04,161.83,9.56,6.75,6.61,9.26,0.96,4.69,3.76,3.48,3.97,2.16,7.01,10.04,4
Buffalo Bills,BUF,DST,16.86,40.45,2.4,17.18,1.02,10.31,0.61,10.59,0.63,1.27,0.08,1.16,0.07,1.37,0.08,147.81,8.76,7.84,6.02,8.71,1.45,5.08,4.1,2.54,3.68,1.61,5.08,9.53,147.81,8.76,7.84,6.02,8.71,1.45,5.08,4.1,2.54,3.68,1.61,5.08,9.53,147.81,8.76,7.84,6.02,8.71,1.45,5.08,4.1,2.54,3.68,1.61,5.08,9.53,4
San Francisco 49ers,SF,DST,16.86,43.76,2.59,16.19,0.96,10.25,0.61,15.09,0.89,0.0,0.0,2.64,0.16,0.0,0.0,144.72,8.57,8.34,5.67,8.63,2.2,3.69,4.6,2.0,4.37,1.99,3.09,9.4,144.72,8.57,8.34,5.67,8.63,2.2,3.69,4.6,2.0,4.37,1.99,3.09,9.4,144.72,8.57,8.34,5.67,8.63,2.2,3.69,4.6,2.0,4.37,1.99,3.09,9.4,4
Baltimore Ravens,BAL,DST,16.86,43.23,2.56,12.33,0.73,9.91,0.59,13.35,0.79,0.2,0.01,1.02,0.06,0.71,0.04,123.37,7.33,6.37,4.29,7.98,1.01,5.5,4.7,4.23,1.41,1.9,4.5,8.53,123.37,7.33,6.37,4.29,7.98,1.01,5.5,4.7,4.23,1.41,1.9,4.5,8.53,123.37,7.33,6.37,4.29,7.98,1.01,5.5,4.7,4.23,1.41,1.9,4.5,8.53,4
Kansas City Chiefs,KC,DST,16.86,46.43,2.75,12.67,0.75,9.86,0.58,12.76,0.76,0.71,0.04,2.53,0.15,0.24,0.01,123.25,7.31,7.5,5.32,7.52,2.16,5.04,4.74,2.58,2.34,1.36,2.54,8.07,123.25,7.31,7.5,5.32,7.52,2.16,5.04,4.74,2.58,2.34,1.36,2.54,8.07,123.25,7.31,7.5,5.32,7.52,2.16,5.04,4.74,2.58,2.34,1.36,2.54,8.07,4
Indianapolis Colts,IND,DST,16.86,40.78,2.42,12.91,0.77,11.52,0.68,13.79,0.81,0.62,0.04,1.91,0.12,1.38,0.08,124.71,7.41,6.65,5.7,7.46,2.33,4.19,5.79,2.0,2.55,1.61,2.93,7.89,124.71,7.41,6.65,5.7,7.46,2.33,4.19,5.79,2.0,2.55,1.61,2.93,7.89,124.71,7.41,6.65,5.7,7.46,2.33,4.19,5.79,2.0,2.55,1.61,2.93,7.89,4
New Orleans Saints,NO,DST,16.86,47.33,2.81,11.03,0.66,7.22,0.43,10.71,0.64,0.14,0.01,1.33,0.08,0.04,0.0,124.58,7.39,5.49,5.18,7.61,0.95,6.96,4.76,0.98,3.21,1.21,3.8,7.46,124.58,7.39,5.49,5.18,7.61,0.95,6.96,4.76,0.98,3.21,1.21,3.8,7.46,124.58,7.39,5.49,5.18,7.61,0.95,6.96,4.76,0.98,3.21,1.21,3.8,7.46,4
Seattle Seahawks,SEA,DST,16.86,41.72,2.48,13.34,0.79,9.92,0.59,13.1,0.78,0.54,0.03,0.73,0.04,0.86,0.05,110.67,6.57,6.68,4.48,7.04,3.42,3.21,7.74,1.14,1.35,1.58,1.01,7.22,110.67,6.57,6.68,4.48,7.04,3.42,3.21,7.74,1.14,1.35,1.58,1.01,7.22,110.67,6.57,6.68,4.48,7.04,3.42,3.21,7.74,1.14,1.35,1.58,1.01,7.22,4
Los Angeles Rams,LAR,DST,16.86,42.91,2.55,16.42,0.97,6.39,0.38,10.44,0.62,0.14,0.01,1.17,0.07,0.25,0.01,114.47,6.81,6.04,5.02,7.07,1.9,5.58,6.18,1.79,1.41,1.47,2.0,7.14,114.47,6.81,6.04,5.02,7.07,1.9,5.58,6.18,1.79,1.41,1.47,2.0,7.14,114.47,6.81,6.04,5.02,7.07,1.9,5.58,6.18,1.79,1.41,1.47,2.0,7.14,4
Green Bay Packers,GB,DST,16.86,36.2,2.15,16.66,0.99,7.25,0.43,10.51,0.63,0.71,0.04,1.92,0.12,0.62,0.04,114.46,6.78,6.31,5.47,6.89,2.49,4.63,5.51,2.98,1.25,1.46,1.81,7.12,114.46,6.78,6.31,5.47,6.89,2.49,4.63,5.51,2.98,1.25,1.46,1.81,7.12,114.46,6.78,6.31,5.47,6.89,2.49,4.63,5.51,2.98,1.25,1.46,1.81,7.12,4
Tampa Bay Buccaneers,TB,DST,16.86,45.25,2.69,12.3,0.73,10.73,0.64,14.58,0.86,0.1,0.01,1.44,0.09,0.0,0.0,115.16,6.84,6.29,6.18,6.74,2.69,4.64,6.15,1.53,1.85,1.33,1.42,6.88,115.16,6.84,6.29,6.18,6.74,2.69,4.64,6.15,1.53,1.85,1.33,1.42,6.88,115.16,6.84,6.29,6.18,6.74,2.69,4.64,6.15,1.53,1.85,1.33,1.42,6.88,4
Miami Dolphins,MIA,DST,16.86,41.4,2.45,10.66,0.63,8.0,0.47,13.8,0.82,0.66,0.04,2.7,0.16,1.0,0.06,119.93,7.11,6.11,6.61,6.87,3.5,4.5,4.15,1.85,2.86,1.14,1.81,6.87,119.93,7.11,6.11,6.61,6.87,3.5,4.5,4.15,1.85,2.86,1.14,1.81,6.87,119.93,7.11,6.11,6.61,6.87,3.5,4.5,4.15,1.85,2.86,1.14,1.81,6.87,4
Minnesota Vikings,MIN,DST,16.86,40.12,2.38,15.33,0.91,9.37,0.56,10.86,0.64,0.14,0.01,1.19,0.07,1.11,0.07,107.4,6.36,5.76,5.16,6.54,2.83,4.54,5.4,2.9,1.19,1.38,1.67,6.65,107.4,6.36,5.76,5.16,6.54,2.83,4.54,5.4,2.9,1.19,1.38,1.67,6.65,107.4,6.36,5.76,5.16,6.54,2.83,4.54,5.4,2.9,1.19,1.38,1.67,6.65,4
Carolina Panthers,CAR,DST,16.86,36.1,2.14,9.62,0.57,7.79,0.46,8.62,0.51,0.33,0.02,2.18,0.13,0.25,0.01,108.08,6.41,5.98,5.1,6.65,3.0,5.06,5.0,2.15,1.65,1.16,1.26,6.58,108.08,6.41,5.98,5.1,6.65,3.0,5.06,5.0,2.15,1.65,1.16,1.26,6.58,108.08,6.41,5.98,5.1,6.65,3.0,5.06,5.0,2.15,1.65,1.16,1.26,6.58,4
Tennessee Titans,TEN,DST,16.96,38.17,2.25,14.59,0.86,6.32,0.37,10.71,0.63,0.04,0.0,1.92,0.12,0.14,0.01,106.08,6.26,5.87,5.91,6.22,3.26,3.84,6.11,1.98,1.78,1.5,1.26,6.51,106.08,6.26,5.87,5.91,6.22,3.26,3.84,6.11,1.98,1.78,1.5,1.26,6.51,106.08,6.26,5.87,5.91,6.22,3.26,3.84,6.11,1.98,1.78,1.5,1.26,6.51,4
Houston Texans,HOU,DST,16.86,36.47,2.16,14.81,0.87,9.73,0.58,10.67,0.63,0.86,0.05,1.04,0.06,0.25,0.01,101.0,5.97,5.99,4.82,6.3,3.27,4.62,5.88,1.19,1.9,1.34,1.19,6.5,101.0,5.97,5.99,4.82,6.3,3.27,4.62,5.88,1.19,1.9,1.34,1.19,6.5,101.0,5.97,5.99,4.82,6.3,3.27,4.62,5.88,1.19,1.9,1.34,1.19,6.5,4
New York Jets,NYJ,DST,16.86,40.27,2.39,10.57,0.63,5.43,0.33,10.49,0.63,1.41,0.08,0.54,0.03,0.9,0.05,98.79,5.85,5.76,4.48,6.22,2.11,7.22,4.59,2.13,0.81,0.88,2.6,6.49,98.79,5.85,5.76,4.48,6.22,2.11,7.22,4.59,2.13,0.81,0.88,2.6,6.49,98.79,5.85,5.76,4.48,6.22,2.11,7.22,4.59,2.13,0.81,0.88,2.6,6.49,4
Pittsburgh Steelers,PIT,DST,16.96,45.82,2.7,18.08,1.07,5.66,0.34,11.41,0.67,0.1,0.01,1.03,0.06,0.29,0.02,114.94,6.79,4.94,6.2,6.69,2.15,7.45,1.82,3.6,1.95,0.96,2.82,6.42,114.94,6.79,4.94,6.2,6.69,2.15,7.45,1.82,3.6,1.95,0.96,2.82,6.42,114.94,6.79,4.94,6.2,6.69,2.15,7.45,1.82,3.6,1.95,0.96,2.82,6.42,4
Arizona Cardinals,ARI,DST,16.86,38.57,2.29,11.33,0.67,10.37,0.61,13.63,0.81,0.1,0.01,3.57,0.21,0.0,0.0,107.98,6.4,5.56,5.51,6.49,2.71,5.82,3.91,2.45,1.96,1.01,1.96,6.42,107.98,6.4,5.56,5.51,6.49,2.71,5.82,3.91,2.45,1.96,1.01,1.96,6.42,107.98,6.4,5.56,5.51,6.49,2.71,5.82,3.91,2.45,1.96,1.01,1.96,6.42,4
Cincinnati Bengals,CIN,DST,16.86,31.71,1.87,12.72,0.75,9.53,0.57,12.79,0.75,0.04,0.0,1.11,0.07,0.14,0.01,104.49,6.17,5.61,4.78,6.47,2.6,5.72,5.63,1.43,1.48,1.09,1.26,6.29,104.49,6.17,5.61,4.78,6.47,2.6,5.72,5.63,1.43,1.48,1.09,1.26,6.29,104.49,6.17,5.61,4.78,6.47,2.6,5.72,5.63,1.43,1.48,1.09,1.26,6.29,4
Washington Commanders,WAS,DST,16.86,42.28,2.51,10.34,0.62,8.31,0.49,8.4,0.5,0.71,0.04,2.64,0.16,0.29,0.02,110.92,6.58,4.95,5.81,6.58,2.9,6.96,3.33,0.89,2.77,0.71,1.32,5.87,110.92,6.58,4.95,5.81,6.58,2.9,6.96,3.33,0.89,2.77,0.71,1.32,5.87,110.92,6.58,4.95,5.81,6.58,2.9,6.96,3.33,0.89,2.77,0.71,1.32,5.87,4
Jacksonville Jaguars,JAC,DST,16.86,33.06,1.96,11.92,0.7,9.34,0.55,12.63,0.75,0.0,0.0,2.89,0.17,0.44,0.03,110.73,6.55,4.6,5.91,6.48,3.79,5.32,3.21,1.33,3.21,1.02,1.41,5.85,110.73,6.55,4.6,5.91,6.48,3.79,5.32,3.21,1.33,3.21,1.02,1.41,5.85,110.73,6.55,4.6,5.91,6.48,3.79,5.32,3.21,1.33,3.21,1.02,1.41,5.85,4
Denver Broncos,DEN,DST,16.86,36.75,2.18,13.82,0.81,7.23,0.43,12.11,0.72,0.62,0.04,0.29,0.02,0.1,0.01,103.68,6.14,4.66,5.21,6.32,2.42,6.81,3.67,1.81,2.15,0.84,1.72,5.78,103.68,6.14,4.66,5.21,6.32,2.42,6.81,3.67,1.81,2.15,0.84,1.72,5.78,103.68,6.14,4.66,5.21,6.32,2.42,6.81,3.67,1.81,2.15,0.84,1.72,5.78,4
Los Angeles Chargers,LAC,DST,16.86,37.09,2.2,12.95,0.77,9.43,0.56,13.13,0.77,0.71,0.04,1.06,0.06,0.29,0.02,95.16,5.64,5.21,5.3,5.79,3.35,5.66,5.08,1.86,0.9,0.91,0.85,5.61,95.16,5.64,5.21,5.3,5.79,3.35,5.66,5.08,1.86,0.9,0.91,0.85,5.61,95.16,5.64,5.21,5.3,5.79,3.35,5.66,5.08,1.86,0.9,0.91,0.85,5.61,4
New York Giants,NYG,DST,16.86,38.98,2.31,8.87,0.52,11.05,0.65,15.14,0.9,0.29,0.02,1.75,0.11,0.0,0.0,100.61,5.97,4.73,5.21,6.14,2.12,8.24,3.41,0.62,2.48,0.64,1.51,5.6,100.61,5.97,4.73,5.21,6.14,2.12,8.24,3.41,0.62,2.48,0.64,1.51,5.6,100.61,5.97,4.73,5.21,6.14,2.12,8.24,3.41,0.62,2.48,0.64,1.51,5.6,4
Cleveland Browns,CLE,DST,16.86,36.77,2.18,11.61,0.69,8.24,0.49,11.16,0.67,0.2,0.01,2.58,0.15,0.62,0.04,104.65,6.2,4.36,6.8,5.98,4.11,6.16,2.07,2.31,2.21,0.66,1.12,5.26,104.65,6.2,4.36,6.8,5.98,4.11,6.16,2.07,2.31,2.21,0.66,1.12,5.26,104.65,6.2,4.36,6.8,5.98,4.11,6.16,2.07,2.31,2.21,0.66,1.12,5.26,4
Detroit Lions,DET,DST,16.86,34.87,2.06,11.06,0.66,9.05,0.54,12.09,0.72,0.71,0.04,0.66,0.04,0.79,0.05,81.15,4.79,4.53,4.86,4.99,4.23,5.37,4.1,2.54,0.62,0.78,1.05,4.93,81.15,4.79,4.53,4.86,4.99,4.23,5.37,4.1,2.54,0.62,0.78,1.05,4.93,81.15,4.79,4.53,4.86,4.99,4.23,5.37,4.1,2.54,0.62,0.78,1.05,4.93,4
Chicago Bears,CHI,DST,16.86,29.09,1.73,11.97,0.71,8.66,0.51,10.87,0.65,0.38,0.02,0.63,0.04,0.38,0.02,77.12,4.59,4.32,4.72,4.8,4.44,6.12,3.76,1.87,0.67,0.61,0.63,4.56,77.12,4.59,4.32,4.72,4.8,4.44,6.12,3.76,1.87,0.67,0.61,0.63,4.56,77.12,4.59,4.32,4.72,4.8,4.44,6.12,3.76,1.87,0.67,0.61,0.63,4.56,4
Atlanta Falcons,ATL,DST,16.86,21.33,1.27,10.77,0.64,7.48,0.44,9.58,0.57,0.86,0.05,1.9,0.11,1.27,0.08,81.77,4.85,3.68,4.77,5.11,4.61,6.51,3.32,1.6,0.83,0.53,0.56,4.36,81.77,4.85,3.68,4.77,5.11,4.61,6.51,3.32,1.6,0.83,0.53,0.56,4.36,81.77,4.85,3.68,4.77,5.11,4.61,6.51,3.32,1.6,0.83,0.53,0.56,4.36,4
Las Vegas Raiders,LV,DST,16.86,28.58,1.69,6.51,0.38,7.26,0.43,9.48,0.56,0.25,0.01,1.93,0.12,0.0,0.0,70.42,4.17,3.2,4.06,4.58,4.54,5.42,4.59,2.17,0.14,0.72,0.55,4.0,70.42,4.17,3.2,4.06,4.58,4.54,5.42,4.59,2.17,0.14,0.72,0.55,4.0,70.42,4.17,3.2,4.06,4.58,4.54,5.42,4.59,2.17,0.14,0.72,0.55,4.0,4
