Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Justin Tucker,BAL,K,1.0,16.86,35.07,2.08,39.59,2.34,0.89,59.4,42.63,0.0,0.0,10.83,0.64,9.94,0.59,6.95,0.41,7.35,0.43,34.34,2.04,35.13,2.09,0.98,153.91,9.12,1.0,161.2,9.56,9.25,3.55,8.72,0.59,4.17,7.73,3.24,1.14,2.83,3.64,11.32,161.2,9.56,9.25,3.55,8.72,0.59,4.17,7.73,3.24,1.14,2.83,3.64,11.32,161.2,9.56,9.25,3.55,8.72,0.59,4.17,7.73,3.24,1.14,2.83,3.64,11.32,4
Daniel Carlson,LV,K,1.0,16.86,34.79,2.06,37.85,2.25,0.92,56.1,41.07,0.0,0.0,10.09,0.6,10.71,0.64,5.33,0.32,8.65,0.51,34.71,2.06,36.34,2.16,0.95,149.89,8.89,1.0,161.7,9.58,10.03,4.43,8.3,2.33,2.27,6.35,4.56,1.35,2.9,2.77,11.27,161.7,9.58,10.03,4.43,8.3,2.33,2.27,6.35,4.56,1.35,2.9,2.77,11.27,161.7,9.58,10.03,4.43,8.3,2.33,2.27,6.35,4.56,1.35,2.9,2.77,11.27,4
Cameron Dicker,LAC,K,2.0,11.0,21.0,1.91,22.0,2.0,0.95,48.0,38.45,0.0,0.0,7.0,0.64,7.0,0.64,7.0,0.64,0.0,0.0,24.0,2.18,24.0,2.18,1.0,90.0,8.18,1.0,94.0,8.55,8.0,2.02,8.95,0.0,2.0,8.0,1.0,0.0,4.5,1.0,10.95,94.0,8.55,8.0,2.02,8.95,0.0,2.0,8.0,1.0,0.0,4.5,1.0,10.95,94.0,8.55,8.0,2.02,8.95,0.0,2.0,8.0,1.0,0.0,4.5,1.0,10.95,1
Jason Myers,SEA,K,1.0,16.86,28.39,1.68,31.92,1.89,0.88,55.67,36.14,0.0,0.0,6.47,0.38,12.58,0.74,4.64,0.28,4.71,0.28,42.49,2.52,44.39,2.64,0.96,140.14,8.31,1.0,141.73,8.4,8.82,3.76,7.55,1.33,5.91,6.44,2.32,0.86,1.86,3.01,9.88,141.73,8.4,8.82,3.76,7.55,1.33,5.91,6.44,2.32,0.86,1.86,3.01,9.88,141.73,8.4,8.82,3.76,7.55,1.33,5.91,6.44,2.32,0.86,1.86,3.01,9.88,4
Brett Maher,FA,K,3.0,14.37,25.05,1.78,28.09,2.0,0.89,55.21,32.71,0.0,0.0,7.63,0.53,5.86,0.49,5.23,0.38,6.32,0.38,38.46,2.47,41.05,2.66,0.91,125.32,8.66,0.97,131.5,8.94,9.32,5.43,7.31,1.27,5.63,2.41,3.0,2.05,1.07,4.64,9.79,131.5,8.94,9.32,5.43,7.31,1.27,5.63,2.41,3.0,2.05,1.07,4.64,9.79,131.5,8.94,9.32,5.43,7.31,1.27,5.63,2.41,3.0,2.05,1.07,4.64,9.79,4
Greg Zuerlein,NYJ,K,1.0,16.62,29.91,1.8,36.74,2.22,0.81,58.84,39.73,0.1,0.01,5.08,0.3,11.41,0.69,8.65,0.52,4.68,0.28,32.49,1.97,34.88,2.12,0.94,145.11,8.76,1.0,140.23,8.45,8.76,4.45,7.27,1.29,5.49,6.16,2.35,1.33,1.64,3.11,9.69,140.23,8.45,8.76,4.45,7.27,1.29,5.49,6.16,2.35,1.33,1.64,3.11,9.69,140.23,8.45,8.76,4.45,7.27,1.29,5.49,6.16,2.35,1.33,1.64,3.11,9.69,4
Younghoe Koo,ATL,K,1.0,16.45,30.91,1.91,34.79,2.15,0.89,53.84,36.54,0.0,0.0,8.73,0.54,7.97,0.5,8.08,0.5,6.12,0.37,31.55,1.92,33.12,2.02,0.95,137.5,8.45,1.0,144.6,8.88,8.88,4.71,7.52,2.17,4.73,3.84,4.72,0.99,1.61,2.83,9.68,144.6,8.88,8.88,4.71,7.52,2.17,4.73,3.84,4.72,0.99,1.61,2.83,9.68,144.6,8.88,8.88,4.71,7.52,2.17,4.73,3.84,4.72,0.99,1.61,2.83,9.68,4
Chris Boswell,PIT,K,1.0,13.49,24.2,1.77,30.29,2.24,0.79,57.95,41.81,0.04,0.0,5.61,0.4,5.3,0.38,6.83,0.49,6.42,0.48,22.19,1.64,23.07,1.7,0.97,113.93,8.43,1.0,114.45,8.39,9.07,3.96,7.44,1.9,3.05,4.78,3.22,0.53,1.79,1.92,9.64,114.45,8.39,9.07,3.96,7.44,1.9,3.05,4.78,3.22,0.53,1.79,1.92,9.64,114.45,8.39,9.07,3.96,7.44,1.9,3.05,4.78,3.22,0.53,1.79,1.92,9.64,4
Matthew Wright,FA,K,1.0,7.74,15.41,2.12,18.1,2.5,0.86,56.9,39.5,0.0,0.0,2.54,0.27,5.74,0.8,4.82,0.76,2.31,0.29,13.67,2.08,14.18,2.12,0.97,68.49,9.61,0.81,69.33,9.79,9.68,3.81,8.96,1.28,1.23,2.05,2.28,0.9,4.04,2.77,9.59,69.33,9.79,9.68,3.81,8.96,1.28,1.23,2.05,2.28,0.9,4.04,2.77,9.59,69.33,9.79,9.68,3.81,8.96,1.28,1.23,2.05,2.28,0.9,4.04,2.77,9.59,3
Matt Gay,IND,K,1.0,15.98,27.57,1.74,29.8,1.89,0.92,56.57,40.05,0.0,0.0,7.45,0.46,9.31,0.59,5.21,0.36,5.59,0.34,34.18,2.15,35.24,2.21,0.97,124.65,7.89,0.98,133.28,8.4,7.87,3.67,7.67,0.9,6.33,6.02,2.06,0.66,2.24,2.72,9.37,133.28,8.4,7.87,3.67,7.67,0.9,6.33,6.02,2.06,0.66,2.24,2.72,9.37,133.28,8.4,7.87,3.67,7.67,0.9,6.33,6.02,2.06,0.66,2.24,2.72,9.37,4
Evan McPherson,CIN,K,1.0,16.71,25.14,1.51,30.14,1.81,0.84,58.71,35.95,0.71,0.04,5.0,0.3,5.14,0.31,8.14,0.49,6.14,0.37,42.43,2.54,45.86,2.75,0.92,136.29,8.17,1.0,138.29,8.29,8.86,4.23,7.22,1.71,5.29,6.86,1.86,1.0,1.39,2.14,9.28,138.29,8.29,8.86,4.23,7.22,1.71,5.29,6.86,1.86,1.0,1.39,2.14,9.28,138.29,8.29,8.86,4.23,7.22,1.71,5.29,6.86,1.86,1.0,1.39,2.14,9.28,2
Michael Badgley,DET,K,1.0,13.14,22.09,1.68,26.54,2.01,0.84,51.12,35.63,0.0,0.0,5.67,0.43,6.46,0.49,8.54,0.65,1.43,0.1,34.47,2.63,35.01,2.66,0.99,114.64,8.71,1.0,112.13,8.54,8.02,3.99,7.57,1.33,3.86,5.24,2.04,0.66,1.54,2.53,9.27,112.13,8.54,8.02,3.99,7.57,1.33,3.86,5.24,2.04,0.66,1.54,2.53,9.27,112.13,8.54,8.02,3.99,7.57,1.33,3.86,5.24,2.04,0.66,1.54,2.53,9.27,4
Tyler Bass,BUF,K,1.0,16.9,28.0,1.66,32.21,1.9,0.87,56.46,34.79,0.1,0.01,7.97,0.47,9.46,0.56,8.26,0.49,2.21,0.13,49.69,2.94,51.18,3.03,0.97,147.79,8.76,1.0,146.36,8.67,8.26,4.55,7.42,1.79,5.74,6.26,2.0,1.1,1.26,1.76,9.0,146.36,8.67,8.26,4.55,7.42,1.79,5.74,6.26,2.0,1.1,1.26,1.76,9.0,146.36,8.67,8.26,4.55,7.42,1.79,5.74,6.26,2.0,1.1,1.26,1.76,9.0,3
Robbie Gould,FA,K,4.0,15.66,24.33,1.55,28.86,1.84,0.84,51.19,33.09,0.0,0.0,10.13,0.63,4.87,0.31,7.16,0.46,2.17,0.14,45.56,2.91,46.66,2.98,0.98,133.23,8.5,1.0,130.04,8.31,7.94,3.96,7.39,1.63,5.68,5.08,2.66,0.62,1.2,1.89,8.82,130.04,8.31,7.94,3.96,7.39,1.63,5.68,5.08,2.66,0.62,1.2,1.89,8.82,130.04,8.31,7.94,3.96,7.39,1.63,5.68,5.08,2.66,0.62,1.2,1.89,8.82,4
Harrison Butker,KC,K,1.0,14.15,21.04,1.47,25.83,1.83,0.81,59.89,34.17,0.2,0.01,6.09,0.44,6.41,0.44,4.26,0.3,4.08,0.28,41.48,2.93,44.53,3.14,0.93,122.02,8.63,1.0,117.03,8.22,7.71,3.54,7.51,1.33,5.1,5.26,2.25,0.22,1.29,1.85,8.81,117.03,8.22,7.71,3.54,7.51,1.33,5.1,5.26,2.25,0.22,1.29,1.85,8.81,117.03,8.22,7.71,3.54,7.51,1.33,5.1,5.26,2.25,0.22,1.29,1.85,8.81,4
Greg Joseph,MIN,K,1.0,16.39,26.78,1.58,32.92,1.94,0.78,56.69,31.83,0.0,0.0,9.02,0.53,6.42,0.38,6.69,0.39,4.64,0.28,37.55,2.32,42.74,2.62,0.88,141.51,8.43,0.98,133.86,7.98,8.37,4.48,6.85,2.64,4.6,4.1,4.1,0.96,1.27,1.96,8.75,133.86,7.98,8.37,4.48,6.85,2.64,4.6,4.1,4.1,0.96,1.27,1.96,8.75,133.86,7.98,8.37,4.48,6.85,2.64,4.6,4.1,4.1,0.96,1.27,1.96,8.75,4
Riley Patterson,JAC,K,1.0,14.14,25.14,1.79,29.0,2.04,0.88,51.86,33.91,0.0,0.0,6.57,0.46,8.86,0.67,8.29,0.58,1.43,0.09,30.29,2.17,31.0,2.21,0.98,118.0,8.33,0.95,116.86,8.29,8.57,4.15,7.29,2.71,3.14,4.57,3.71,0.0,1.4,1.38,8.57,116.86,8.29,8.57,4.15,7.29,2.71,3.14,4.57,3.71,0.0,1.4,1.38,8.57,116.86,8.29,8.57,4.15,7.29,2.71,3.14,4.57,3.71,0.0,1.4,1.38,8.57,2
Jason Sanders,MIA,K,1.0,16.86,26.13,1.55,32.36,1.92,0.8,54.07,35.65,0.1,0.01,5.62,0.33,7.04,0.42,10.74,0.64,2.63,0.16,38.31,2.27,40.44,2.4,0.95,137.54,8.17,1.0,132.93,7.9,7.67,3.43,7.27,1.98,6.3,5.93,2.42,0.24,1.1,1.64,8.51,132.93,7.9,7.67,3.43,7.27,1.98,6.3,5.93,2.42,0.24,1.1,1.64,8.51,132.93,7.9,7.67,3.43,7.27,1.98,6.3,5.93,2.42,0.24,1.1,1.64,8.51,4
Ryan Succop,FA,K,5.0,16.51,28.04,1.66,34.08,2.04,0.8,51.22,31.22,0.1,0.01,9.85,0.58,6.96,0.41,9.8,0.58,1.33,0.08,34.64,2.13,36.53,2.25,0.95,138.76,8.36,0.99,131.24,7.86,7.85,4.18,6.86,2.5,5.36,4.8,3.5,0.34,1.09,1.71,8.41,131.24,7.86,7.85,4.18,6.86,2.5,5.36,4.8,3.5,0.34,1.09,1.71,8.41,131.24,7.86,7.85,4.18,6.86,2.5,5.36,4.8,3.5,0.34,1.09,1.71,8.41,4
Brandon McManus,DEN,K,1.0,16.76,27.55,1.65,34.49,2.06,0.8,56.69,38.96,0.0,0.0,6.25,0.37,4.65,0.28,9.35,0.56,7.3,0.44,26.87,1.6,28.68,1.71,0.94,132.16,7.89,1.0,133.46,7.97,7.14,4.13,7.0,1.38,7.59,4.14,3.21,0.44,0.88,3.06,8.36,133.46,7.97,7.14,4.13,7.0,1.38,7.59,4.14,3.21,0.44,0.88,3.06,8.36,133.46,7.97,7.14,4.13,7.0,1.38,7.59,4.14,3.21,0.44,0.88,3.06,8.36,4
Eddy Pineiro,CAR,K,1.0,13.68,25.73,1.83,27.32,1.92,0.95,53.14,39.23,0.04,0.0,2.26,0.21,11.87,0.78,9.83,0.69,1.73,0.14,24.13,1.77,25.86,1.91,0.93,107.81,7.67,0.92,114.61,8.23,8.62,3.59,7.54,2.27,4.27,2.96,3.5,0.68,1.19,1.38,8.33,114.61,8.23,8.62,3.59,7.54,2.27,4.27,2.96,3.5,0.68,1.19,1.38,8.33,114.61,8.23,8.62,3.59,7.54,2.27,4.27,2.96,3.5,0.68,1.19,1.38,8.33,4
Nick Folk,NE,K,1.0,16.51,31.68,1.92,35.82,2.17,0.88,53.34,34.63,0.66,0.04,8.55,0.52,8.44,0.51,10.11,0.61,3.93,0.24,33.48,2.02,36.85,2.22,0.91,144.31,8.74,0.99,146.5,8.86,7.0,5.71,7.2,2.54,5.6,3.44,2.34,2.59,1.1,1.99,8.24,146.5,8.86,7.0,5.71,7.2,2.54,5.6,3.44,2.34,2.59,1.1,1.99,8.24,146.5,8.86,7.0,5.71,7.2,2.54,5.6,3.44,2.34,2.59,1.1,1.99,8.24,4
Graham Gano,NYG,K,1.0,16.27,28.05,1.67,30.99,1.83,0.87,54.06,35.0,0.0,0.0,2.86,0.17,9.78,0.58,8.28,0.49,7.14,0.42,25.96,1.53,27.39,1.62,0.91,120.34,7.12,0.97,132.68,7.85,7.76,4.85,6.56,3.32,3.92,5.44,2.64,0.96,1.36,1.16,8.13,132.68,7.85,7.76,4.85,6.56,3.32,3.92,5.44,2.64,0.96,1.36,1.16,8.13,132.68,7.85,7.76,4.85,6.56,3.32,3.92,5.44,2.64,0.96,1.36,1.16,8.13,4
Matt Prater,ARI,K,1.0,14.4,24.03,1.67,28.49,1.97,0.85,58.39,33.29,0.0,0.0,4.15,0.26,9.14,0.65,5.06,0.37,5.67,0.39,27.17,1.81,28.61,1.9,0.95,114.07,7.81,1.0,115.66,7.97,7.01,5.05,6.66,3.32,4.47,2.2,3.93,0.48,0.86,2.2,7.91,115.66,7.97,7.01,5.05,6.66,3.32,4.47,2.2,3.93,0.48,0.86,2.2,7.91,115.66,7.97,7.01,5.05,6.66,3.32,4.47,2.2,3.93,0.48,0.86,2.2,7.91,4
Zane Gonzalez,SF,K,1.0,12.41,20.1,1.61,23.33,1.87,0.86,56.44,33.85,0.0,0.0,6.1,0.48,2.38,0.17,8.97,0.74,2.64,0.22,27.33,2.2,28.33,2.29,0.96,98.33,7.9,1.0,101.9,8.2,6.88,4.85,6.92,1.9,4.9,2.72,1.1,1.79,0.86,1.55,7.82,101.9,8.2,6.88,4.85,6.92,1.9,4.9,2.72,1.1,1.79,0.86,1.55,7.82,101.9,8.2,6.88,4.85,6.92,1.9,4.9,2.72,1.1,1.79,0.86,1.55,7.82,4
Chase McLaughlin,FA,K,9.0,14.62,23.27,1.55,28.74,1.91,0.8,54.38,36.48,0.04,0.0,5.34,0.36,4.32,0.29,6.82,0.45,6.74,0.44,23.32,1.58,23.66,1.62,0.98,109.88,7.36,0.97,113.44,7.56,7.36,4.87,6.34,2.48,5.24,4.73,0.69,1.48,0.98,1.96,7.72,113.44,7.56,7.36,4.87,6.34,2.48,5.24,4.73,0.69,1.48,0.98,1.96,7.72,113.44,7.56,7.36,4.87,6.34,2.48,5.24,4.73,0.69,1.48,0.98,1.96,7.72,4
Wil Lutz,NO,K,1.0,16.82,23.47,1.4,30.87,1.83,0.76,58.98,32.65,0.05,0.0,6.03,0.36,8.97,0.53,4.86,0.3,3.56,0.21,36.92,2.21,37.1,2.22,1.0,129.71,7.73,1.0,119.31,7.12,7.42,3.9,6.33,3.71,5.45,6.18,1.42,0.05,0.95,0.6,7.58,119.31,7.12,7.42,3.9,6.33,3.71,5.45,6.18,1.42,0.05,0.95,0.6,7.58,119.31,7.12,7.42,3.9,6.33,3.71,5.45,6.18,1.42,0.05,0.95,0.6,7.58,4
Mason Crosby,FA,K,8.0,16.86,24.0,1.42,28.75,1.7,0.85,55.53,31.59,0.14,0.01,8.55,0.5,8.07,0.48,5.45,0.32,1.79,0.11,42.24,2.51,44.4,2.64,0.95,130.66,7.74,1.0,123.25,7.31,6.77,4.13,6.41,3.79,5.52,4.35,2.62,0.59,0.82,1.18,7.41,123.25,7.31,6.77,4.13,6.41,3.79,5.52,4.35,2.62,0.59,0.82,1.18,7.41,123.25,7.31,6.77,4.13,6.41,3.79,5.52,4.35,2.62,0.59,0.82,1.18,7.41,4
Jake Elliott,PHI,K,1.0,16.25,21.95,1.34,25.19,1.55,0.87,56.18,30.4,0.0,0.0,5.79,0.36,8.3,0.51,3.77,0.23,4.09,0.25,45.99,2.84,47.49,2.93,0.97,123.05,7.56,1.0,123.75,7.59,6.59,4.52,6.51,2.75,7.08,3.16,1.9,1.35,0.74,1.33,7.35,123.75,7.59,6.59,4.52,6.51,2.75,7.08,3.16,1.9,1.35,0.74,1.33,7.35,123.75,7.59,6.59,4.52,6.51,2.75,7.08,3.16,1.9,1.35,0.74,1.33,7.35,4
Joey Slye,WAS,K,1.0,15.63,24.9,1.62,29.44,1.9,0.85,57.19,34.08,0.62,0.04,8.34,0.55,4.88,0.32,7.08,0.45,3.86,0.25,23.68,1.52,27.59,1.77,0.86,115.9,7.47,1.0,112.84,7.3,6.9,4.53,6.26,3.48,4.92,4.7,1.63,0.9,0.94,0.79,7.34,112.84,7.3,6.9,4.53,6.26,3.48,4.92,4.7,1.63,0.9,0.94,0.79,7.34,112.84,7.3,6.9,4.53,6.26,3.48,4.92,4.7,1.63,0.9,0.94,0.79,7.34,4
Cade York,CLE,K,1.0,17.0,24.0,1.41,32.0,1.88,0.75,58.0,35.82,0.0,0.0,5.0,0.29,9.0,0.53,6.0,0.35,4.0,0.24,35.0,2.06,37.0,2.18,0.95,133.0,7.82,1.0,121.0,7.12,6.0,3.52,6.49,1.0,9.0,5.0,1.0,1.0,0.7,2.0,7.25,121.0,7.12,6.0,3.52,6.49,1.0,9.0,5.0,1.0,1.0,0.7,2.0,7.25,121.0,7.12,6.0,3.52,6.49,1.0,9.0,5.0,1.0,1.0,0.7,2.0,7.25,1
Dustin Hopkins,LAC,K,1.0,9.47,16.58,1.77,19.06,2.01,0.88,45.91,34.95,0.25,0.01,3.97,0.41,6.18,0.89,5.41,0.41,0.77,0.05,21.02,2.29,22.25,2.37,0.97,79.44,8.39,0.83,77.7,8.11,7.86,3.66,7.33,0.89,3.73,2.69,2.16,0.0,0.92,1.35,7.12,77.7,8.11,7.86,3.66,7.33,0.89,3.73,2.69,2.16,0.0,0.92,1.35,7.12,77.7,8.11,7.86,3.66,7.33,0.89,3.73,2.69,2.16,0.0,0.92,1.35,7.12,4
Ka'imi Fairbairn,HOU,K,1.0,15.88,25.0,1.55,27.81,1.73,0.89,56.96,36.0,0.0,0.0,6.28,0.39,6.74,0.42,6.78,0.41,5.19,0.32,23.2,1.44,24.43,1.53,0.94,107.86,6.73,1.0,115.37,7.15,6.44,3.86,6.44,2.61,6.71,5.22,0.37,0.96,0.73,0.78,7.03,115.37,7.15,6.44,3.86,6.44,2.61,6.71,5.22,0.37,0.96,0.73,0.78,7.03,115.37,7.15,6.44,3.86,6.44,2.61,6.71,5.22,0.37,0.96,0.73,0.78,7.03,4
Randy Bullock,FA,K,12.0,15.61,20.0,1.29,23.73,1.54,0.84,51.63,29.14,0.0,0.0,5.0,0.32,7.06,0.46,6.75,0.44,1.2,0.08,30.9,1.98,31.77,2.04,0.98,102.98,6.65,1.0,100.05,6.46,6.41,4.1,5.66,4.42,6.21,2.53,2.34,0.1,0.6,0.85,6.61,100.05,6.46,6.41,4.1,5.66,4.42,6.21,2.53,2.34,0.1,0.6,0.85,6.61,100.05,6.46,6.41,4.1,5.66,4.42,6.21,2.53,2.34,0.1,0.6,0.85,6.61,4
Cairo Santos,CHI,K,1.0,15.81,22.45,1.4,25.06,1.59,0.88,50.49,29.85,0.0,0.0,5.81,0.35,6.57,0.41,7.37,0.47,2.7,0.17,27.3,1.75,30.72,1.96,0.89,105.9,6.72,0.99,107.41,6.76,6.18,4.77,5.73,4.12,6.33,2.59,2.06,0.71,0.56,0.96,6.49,107.41,6.76,6.18,4.77,5.73,4.12,6.33,2.59,2.06,0.71,0.56,0.96,6.49,107.41,6.76,6.18,4.77,5.73,4.12,6.33,2.59,2.06,0.71,0.56,0.96,6.49,4
Rodrigo Blankenship,FA,K,7.0,4.85,8.67,1.62,10.59,2.03,0.8,49.79,34.02,0.0,0.0,3.08,0.65,2.0,0.23,2.85,0.53,0.74,0.22,8.77,1.49,9.87,1.77,0.84,41.64,7.84,0.65,39.1,7.33,9.31,4.77,6.31,0.85,0.56,2.67,0.77,0.0,2.53,0.51,6.11,39.1,7.33,9.31,4.77,6.31,0.85,0.56,2.67,0.77,0.0,2.53,0.51,6.11,39.1,7.33,9.31,4.77,6.31,0.85,0.56,2.67,0.77,0.0,2.53,0.51,6.11,3
Austin Seibert,FA,K,6.0,4.45,5.89,1.21,8.06,1.77,0.67,49.18,31.06,0.0,0.0,0.24,0.01,2.45,0.49,2.92,0.66,0.29,0.04,10.59,2.9,10.89,2.93,0.98,35.08,8.23,0.65,31.74,7.26,6.36,4.0,6.54,0.95,1.92,0.87,0.71,0.0,0.53,0.31,4.45,31.74,7.26,6.36,4.0,6.54,0.95,1.92,0.87,0.71,0.0,0.53,0.31,4.45,31.74,7.26,6.36,4.0,6.54,0.95,1.92,0.87,0.71,0.0,0.53,0.31,4.45,4
Matt Ammendola,FA,K,11.0,6.0,7.29,1.23,10.43,1.74,0.7,36.14,25.34,0.71,0.18,3.57,0.66,2.43,0.34,0.57,0.05,0.0,0.0,7.57,1.26,9.29,1.64,0.77,40.57,6.87,0.75,30.0,5.0,4.57,2.93,4.78,2.29,2.43,1.29,0.0,0.0,0.3,0.0,3.83,30.0,5.0,4.57,2.93,4.78,2.29,2.43,1.29,0.0,0.0,0.3,0.0,3.83,30.0,5.0,4.57,2.93,4.78,2.29,2.43,1.29,0.0,0.0,0.3,0.0,3.83,2
Taylor Bertolet,FA,K,13.0,3.0,3.0,1.0,3.0,1.0,1.0,28.0,9.33,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,2.0,1.0,15.0,5.0,0.56,15.0,5.0,3.0,6.24,3.95,2.0,0.0,0.0,1.0,0.0,0.5,0.5,2.23,15.0,5.0,3.0,6.24,3.95,2.0,0.0,0.0,1.0,0.0,0.5,0.5,2.23,15.0,5.0,3.0,6.24,3.95,2.0,0.0,0.0,1.0,0.0,0.5,0.5,2.23,1
Elliott Fry,ARI,K,2.0,2.43,3.14,1.24,3.86,1.48,0.86,38.0,25.62,0.0,0.0,0.29,0.29,2.14,0.71,0.71,0.24,0.0,0.0,3.14,1.24,4.14,1.76,0.71,15.71,6.19,0.48,13.29,5.19,4.0,4.76,3.15,0.71,1.0,0.0,0.71,0.0,0.36,0.71,1.97,13.29,5.19,4.0,4.76,3.15,0.71,1.0,0.0,0.71,0.0,0.36,0.71,1.97,13.29,5.19,4.0,4.76,3.15,0.71,1.0,0.0,0.71,0.0,0.36,0.71,1.97,3
Tristan Vizcaino,DAL,K,1.0,3.56,3.13,0.99,3.38,1.04,0.96,46.1,19.05,0.0,0.0,0.77,0.13,1.36,0.5,1.0,0.36,0.0,0.0,4.69,1.27,5.97,1.49,0.92,16.13,4.59,0.59,15.08,4.6,2.26,4.62,2.85,1.79,0.51,1.15,0.1,0.0,0.55,0.1,1.56,15.08,4.6,2.26,4.62,2.85,1.79,0.51,1.15,0.1,0.0,0.55,0.1,1.56,15.08,4.6,2.26,4.62,2.85,1.79,0.51,1.15,0.1,0.0,0.55,0.1,1.56,3
Josh Lambo,FA,K,14.0,2.38,1.79,0.2,2.57,0.45,0.14,8.02,5.06,0.0,0.0,0.47,0.03,0.55,0.07,0.41,0.04,0.35,0.06,4.62,2.5,5.96,3.33,0.75,13.67,4.69,0.41,11.12,3.28,3.17,0.91,1.37,1.53,0.3,0.3,0.22,0.04,0.15,0.18,1.09,11.12,3.28,3.17,0.91,1.37,1.53,0.3,0.3,0.22,0.04,0.15,0.18,1.09,11.12,3.28,3.17,0.91,1.37,1.53,0.3,0.3,0.22,0.04,0.15,0.18,1.09,4
Quinn Nordin,FA,K,15.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Dominik Eberle,FA,K,2.0,1.0,1.29,1.29,1.57,1.57,0.91,49.57,49.57,0.0,0.0,0.29,0.29,0.0,0.0,0.71,0.71,0.29,0.29,2.86,2.86,4.29,4.29,0.64,9.0,9.0,0.28,8.0,8.0,8.0,0.0,0.0,0.0,0.71,0.0,0.29,0.0,0.29,0.29,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.71,0.0,0.29,0.0,0.29,0.29,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.71,0.0,0.29,0.0,0.29,0.29,0.0,2
Nick Sciba,FA,K,10.0,1.0,2.0,2.0,2.0,2.0,1.0,38.0,38.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,0.28,7.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Michael Palardy,NE,K,2.0,10.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Caleb Shudak,TEN,K,1.0,1.0,3.0,3.0,4.0,4.0,0.75,38.0,38.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,0.28,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
Ramiz Ahmed,FA,K,15.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
